Video Başlığı,Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,BERTurk_Etiketi,BERTurk_Confidence,Kural_Etiketi,Nihai_Etiket,Nihai_Confidence,Karar_Kaynağı
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,https://www.youtube.com/watch?v=VAO5geOPUwI,UgykH-XhmSGo1Ucj3pp4AaABAg,,@Hatice-nr9pe,,Abi nolur  no 304 de gelmediğiniz şehirlerede gelinn,0,6 gün önce,Hayır,negative,0.4595,olumlu,0.8735,,olumlu,0.8735,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,UgysIy0YKP8gEzQo86t4AaABAg.AUcv8-nwgAKAUeQe4HBpds,Ugwct5vPVoZeV3FHVox4AaABAg,@baixyw_vensuw,@Nnissnissa,Basak ablayı daha fazla görmrk istiyoruz❤,13,1 ay önce,Evet,positive,0.7067,olumlu,0.9855,,olumlu,0.9855,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,Ugz4HSlsRx0bGe9lYeB4AaABAg,,@aydinyentur,,Cem yılmaz iyi ki var iyiki onu izledik ve tanıdık  cem yılmaz bu ülkeden cıkmıs en büyük komple sanatçılar içinde 1. Sıradadır yapacak çok işi var❤,0,2 ay önce,Hayır,positive,0.8978,olumlu,0.9561,,olumlu,0.9561,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgyikHoLXK6zMDkzm4Z4AaABAg.ARoKQdpuXy1ARztyFVRP-b,UgxByyulBT5Q6hjLaM14AaABAg,@BB-fr1he,@pikafinix,Bi an yalnızlık konusunda arkadaslarım da yalnızlar hepimiz gokyuzunde gezen yalnız yıldızlarız diyeceğini düşündüm 🙈,1,3 ay önce,Evet,negative,0.4287,olumsuz,0.8393,,olumsuz,0.8393,berturk
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxDgtspSxEkKWLsRJt4AaABAg,,@burakpolat3530,,enis arıkanı çok severim bu bir eleştiri değil tabikide ama gözleri bana mı değişik geliyor tek aşırı siyah gözbebekleri garip duruyor önceden böyle değildi,0,2 gün önce,Hayır,positive,0.7706,olumsuz,0.6794,,positive,0.7706,xlm_roberta
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcHIba41lo,Ugwct5vPVoZeV3FHVox4AaABAg,@zanneyss,@Nnissnissa,2. sezon gelmelı mutlaka en keyıf aldıgım ıcerıklerden bırıydı !,0,1 ay önce,Evet,positive,0.7094,olumlu,0.9959,,olumlu,0.9959,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgxV1hVP-JTHdPHsrUF4AaABAg,,@endergonc6617,,donate fln atın abla parasızlıktan donla çıkmış yazıktır,0,3 ay önce,Hayır,negative,0.9394,olumsuz,0.9827,şikayet,şikayet,0.85,kural
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgzBxv_b61ilou8lBpZ4AaABAg,,@kecoingamer,,"1:33:50 Ben MASAK'a sordurdum son helal Ferrari benimkiymiş

Ne güzel ince giydirmeler yapıyor",2,3 ay önce,Hayır,positive,0.7569,olumsuz,0.7092,,positive,0.7569,xlm_roberta
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzFbPLVw3cTmsPE4-N4AaABAg,,@ayseh5159,,"O kadar uzun süredir bir şeylere gülmemişim ki kendi kahkahalarımın sesini duydukça tuhaf hissettim, gülmekten karnımın ağrıması hissini tekrar hatırladım.Gerçekten Youtubeda bu kadar güldüğüm ilk program olabilir.İyi ki varsınız,emeklerinize sağlık❤",8,4 gün önce,Hayır,positive,0.879,olumlu,0.9941,,olumlu,0.9941,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgxuwOJryM6vojMuoI94AaABAg.ASMf1xIk4Q7ASMf9d1-pRK,UgxoTr4EeOQLT-P7cHt4AaABAg,@asdadasewqfsdv,@arkadaslarmerhaba1659,Cumartesi günüm bu kadar kötü başlayamazdı lanet olsun her şeye,0,3 ay önce,Evet,negative,0.945,olumsuz,0.992,,olumsuz,0.992,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,Ugzavtnd_0Hi-uz3rrp4AaABAg,,@mustafacukuur,,günlük yap zuhal topalı indiririz tahtından harika içerik,548,1 ay önce,Hayır,positive,0.5226,olumlu,0.9938,,olumlu,0.9938,berturk
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugx9UGxvgSU_3m8qbrx4AaABAg,,@haticeasan3783,,O kadar iyi ki gülmekten ağladım sonlarda efsaneydi emeğinize sağlık uzun zamandır böyle gülmemiştim çok iyi geldi,0,1 gün önce (düzenlendi),Hayır,positive,0.9231,olumlu,0.9937,,olumlu,0.9937,berturk
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,https://www.youtube.com/watch?v=VAO5geOPUwI,UgxKUeP2R6gKjoQVAw14AaABAg,,@slm952,,Adanaliyim ve makarnanın da tadı bir başka bee,0,2 gün önce,Hayır,positive,0.5477,olumlu,0.9646,,olumlu,0.9646,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,Ugw4_JasTMbxPwIfvbN4AaABAg,,@farukaydin8231,,Taner olmadan yeni sezon gelsinnn,0,1 ay önce,Hayır,positive,0.3842,olumsuz,0.9807,,olumsuz,0.9807,berturk
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgycGgwccxOvLZ87Jtl4AaABAg,,@gulayhan7673,,Tuğba maşallah elinden her iş geliyor 😂😂,0,1 ay önce,Hayır,positive,0.8656,olumlu,0.8697,,olumlu,0.8697,berturk
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzpxmM6zkwf6I5L4WR4AaABAg,,@CerenUğur-e3q,,İnci neyi oluyo,0,11 gün önce,Hayır,neutral,0.6484,olumsuz,0.968,,olumsuz,0.968,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgwnLcppZx7TyWbQ3YR4AaABAg.AW4TA18UCtZAWCnuXIxQ87,Ugwuh0iQIjahwzESk454AaABAg,@birferyada,@eminecalskan6848,Sonda alıyor ama orayı kesmişler,2,6 gün önce,Evet,negative,0.6878,olumsuz,0.9972,,olumsuz,0.9972,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgxEuPSIL_AgYoX3WVV4AaABAg,,@toprakkardesler683,,"Kendisini üniversiteleri gezerken canlı da izleme fırsatım olmuştu. Başka standup gösterileri de izledim. Bize yaptığı gösteri tamamen interaktif doğaçlama gidiyordu. Gördüğüm en komik insan. Yok bitti yok bitecek. Komikliği falan bırakıyorum bir kenara, Cem abinin oturup bişeyler hakkında konuşurken fikirlerini dinlemek bakış açısını duymak bile ilgi çekici bişey benim için. Görür görmez bilmem de seviliyorsun abi sevgiler. 🫶",0,3 ay önce,Hayır,positive,0.7521,olumlu,0.9977,,olumlu,0.9977,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgycuV824JF2CH7IVh14AaABAg.ARlYL7YosKtARnBE6sfixH,UgyTeWqN79VR_0ib_K14AaABAg,@uidr,@eleştirici0,Bu ne biçim kitle yav? -ne kitlesi her şey santim santim anlatiyor işte,1,3 ay önce,Evet,negative,0.436,olumsuz,0.9572,,olumsuz,0.9572,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgykqBq5FHdImJm2YOx4AaABAg,,@nc-cr6lu,,"7:22    'gönül gocamaz' demişler, Cemcim :)",0,3 ay önce,Hayır,positive,0.7089,olumlu,0.9999,,olumlu,0.9999,berturk
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,https://www.youtube.com/watch?v=VAO5geOPUwI,Ugz_bsqG3PAr93RwR3x4AaABAg,,@HayrunnisaAktaş-u9t,,Bir an hiç gelmeyecek sandık yeni bölümü 🎉🎉🎉,0,6 gün önce,Hayır,positive,0.7132,olumlu,0.9915,,olumlu,0.9915,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,UgxaNDB3xw-9jLCJuAZ4AaABAg,,@turtat5220,,Goat rane kazandı,0,1 ay önce,Hayır,positive,0.5273,olumlu,0.55,,olumlu,0.55,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,Ugx06CU7hwKQxk1UuJ94AaABAg,,@Meoe54,,26:56  yarın burdan izlemeye devam etcem,5,10 gün önce,Hayır,positive,0.4883,olumlu,0.9922,,olumlu,0.9922,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgzXEjIl7B6vzqwfvUd4AaABAg.AW3jrWsFDOLAWEOulrMBhg,Ugwuh0iQIjahwzESk454AaABAg,@edanisanaksu,@eminecalskan6848,yeni tekerleme üretmis,2,5 gün önce,Evet,positive,0.4705,olumlu,0.7098,,olumlu,0.7098,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgxomEvfGBaKTJyNARB4AaABAg,,@anilcarter,,cem yılmaz talk show satın aldı,21,3 ay önce,Hayır,neutral,0.7316,olumsuz,0.9966,,olumsuz,0.9966,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgwbHRFoA11IJFHh7J94AaABAg.AVzaj4d_eTZAVzdjXKdGs0,UgwZSFij79vl0WDlcIF4AaABAg,@Fudutru,@birkedii,Dehşet sarardı ya,46,11 gün önce,Evet,negative,0.7631,olumlu,0.9858,,olumlu,0.9858,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,Ugz9vvTflEQFaxsOpQl4AaABAg,,@metejanistik,,8:41 başak ablanın saklanması çok komik,0,1 ay önce,Hayır,positive,0.5577,olumlu,0.6419,,olumlu,0.6419,berturk
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugxb4WnI9k4rjHOhb5V4AaABAg,,@Lili-g6g1j,,27:13 Yeşim’in gülüşüne çok güldüm ya😂😂😂😂😂😂,4,11 ay önce,Hayır,positive,0.8885,olumlu,0.7482,,positive,0.8885,xlm_roberta
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcdPGauVED,Ugwct5vPVoZeV3FHVox4AaABAg,@alipolat7562,@Nnissnissa,Haftaya 2.sezob 1. Bölüm elraeen bekliyoruz,1,1 ay önce,Evet,positive,0.5266,olumlu,0.912,,olumlu,0.912,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,Ugwvhe7m2DKX3XhmX214AaABAg.ARvOhWlf7NQASKnJAx4b_3,Ugw2W7WCZMFNp6X9cMd4AaABAg,@sermindonmez507,@oguz16,Bende bir tek ben mi bu yapay ve abartı gülmeyi farkettim diyordum....,2,3 ay önce,Evet,negative,0.6234,olumsuz,0.9993,,olumsuz,0.9993,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgxheOlnRTxFHak7iNN4AaABAg,,@bugraakdemir8438,,0:40 editörünüzün matematiğini sinemleyeyim 100/10 nedir,4,9 gün önce,Hayır,neutral,0.5321,olumlu,0.6675,,olumlu,0.6675,berturk
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyDHIDhGKr_fp2e1kZ4AaABAg,,@Thenewone76,,EN İYİ PROGRAMDI DOĞRU,0,15 dakika önce,Hayır,positive,0.9231,olumlu,0.9951,,olumlu,0.9951,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,UgzTX3TixyuOIgZWHCB4AaABAg,,@alisaidsekerci5841,,"Seyirci muhtemelen komple bayan, ince esprileri kavrayamamışlar. 29:10'da nasıl bir kişiden bile tepki gelmez aq",0,3 ay önce,Hayır,negative,0.8512,olumsuz,0.9975,,olumsuz,0.9975,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgwnOb9OIdONNGr9S_l4AaABAg,,@OTBxRayz,,28:56 Orkun abi yapma caciki deme sende :(,6,11 gün önce,Hayır,negative,0.9086,olumsuz,0.9995,,olumsuz,0.9995,berturk
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKHP7vDvvS,Ugzrm85LM26eF3Ch4lR4AaABAg,@Elif-823,@Acelya_Göksu,Benim şahsen favori konuklu videom oldu dertleşme kısmı çok güzeldi,22,1 yıl önce,Evet,positive,0.8613,olumlu,0.9781,,olumlu,0.9781,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,Ugzwlhv_BZizW2t6Cxh4AaABAg,,@yassuioooo,,Yeni sezooon🥸🥸🥸🥸,0,2 hafta önce,Hayır,positive,0.4104,olumsuz,0.6362,,olumsuz,0.6362,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgwtdiIu3CP0dcvtMtx4AaABAg,,@kartopunundunyas5762,,"orkun abi valla o tatlı koșușturman,takımın abisi fakat otobüsun ve gezinin küçük çoçuğu olman çok tatlı ve eğlenceliydi❤❤",0,9 gün önce,Hayır,positive,0.8915,olumlu,0.9787,,olumlu,0.9787,berturk
EN DÜŞÜK PUANLI YURT DIŞI TURU!,https://www.youtube.com/watch?v=57gh5GlkzTg,UgwasrqAvHQALwox_XR4AaABAg,,@herseyrelaxya,,Dehset samimi olmuş ya,1,9 gün önce,Hayır,negative,0.5004,olumlu,0.9942,,olumlu,0.9942,berturk
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",https://www.youtube.com/watch?v=ew39U719B2c,UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUfBK0heOkv,Ugwct5vPVoZeV3FHVox4AaABAg,@thealtros11,@Nnissnissa,Bu program hiç bitmesin,0,1 ay önce,Evet,negative,0.7495,olumlu,0.9825,,olumlu,0.9825,berturk
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,https://www.youtube.com/watch?v=q9NbnZa0FJw,Ugx56uH8Ps8O9kytuVF4AaABAg,,@YusufBittar,,Çok benziyoruz,0,3 ay önce,Hayır,positive,0.5076,olumlu,0.9645,,olumlu,0.9645,berturk
