Video Başlığı,Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi,XLM_Turkce,Nihai_Etiket
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgygI7SZVuS4OonP-RR4AaABAg,,@melsssu,,Gülmekten bayılıcam birazdan Yeşimle gülme krizlerimiz çakışıyor onun sesini duyunca daha çok gülüyorum Tuğba'nın travmalarına da bittim ya,"2,2 B",1 yıl önce (düzenlendi),Hayır,positive,0.7502,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyNeI6lhOpG0EPU7RN4AaABAg,,@Patatesli_makarna-f8c,,En iyi açık mutfak bölümlerinden nefes alamıyorum,193,6 ay önce,Hayır,positive,0.7925,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxarQsQks6pc-friKB4AaABAg,,@melodi-h8c,,11:24 Tuğba burada yeni bi gülüş denedi,41,1 ay önce,Hayır,positive,0.4468,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwwSqP6q6EaNkwItQt4AaABAg,,@nazli204,,Tuğba'nın çocukluk travmaları bir yandan da hamurla cebelleşmesi  ahhahajakajah aşırı güldürdü ya iyi ki gelmiş karnım ağrıdı gülmekten ajahahIah,"1,1 B",1 yıl önce,Hayır,positive,0.7691,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugx9aZ3_NqstW_6ufv54AaABAg,,@Zey-Betül,,"Mutfakla aram yok diyen Tuğbayı bile gördü bu gözler Açık Mutfakta, iyi ki gelmiş renk katmış videoya 🫶🏻","1,5 B",1 yıl önce,Hayır,positive,0.6086,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgwIO3Ha4S7nrhghcbl4AaABAg,,@Pinkquee,,Tuğbayı aşırı iyi anlıyorum heyecanlanınca bütün yeteneklerini kaybetmesi ve saçmalaması çok tatlı ben de heycanlanınca  anksiyetem tutuyor ellerim titriyor benim gibi birini görünce mutlu oldum 🥲,645,1 yıl önce,Hayır,positive,0.8672,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugxdc67W6fx8h8gvBz14AaABAg,,@cisil7450,,İnci gerçekten davranış olarak o kadar hanımefendi o kadar olgun ki 25-26 yaşlarında olduğunu düşünmüştüm ❤,36,1 ay önce,Hayır,positive,0.6972,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,Ugzrm85LM26eF3Ch4lR4AaABAg,,@Acelya_Göksu,,Tuğba bir daha gelsin lütfennn ikinci izleyişim bundada ikinci olmasına rağmennyine gülmekten ağladım😂,37,1 ay önce,Hayır,positive,0.6229,öneri/tavsiye,olumlu,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK3biqsa1D,Ugzrm85LM26eF3Ch4lR4AaABAg,@oyunzamanı5400,@Acelya_Göksu,ben böyle güzel sosis doğrayan görmedim :D,133,1 yıl önce,Evet,positive,0.8411,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKEeWNncgo,Ugzrm85LM26eF3Ch4lR4AaABAg,@eliyevaaa,@Acelya_Göksu,Ayyy Tuğba neler yaşamışsın yaaa ne kadar güldümm iyi ki geldin 😅🫶🏻,30,1 yıl önce,Evet,positive,0.9144,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK3-EO3NaI,Ugzrm85LM26eF3Ch4lR4AaABAg,@ecrinkr,@Acelya_Göksu,allah affetsin kendimden gectim gulmekten,187,1 yıl önce,Evet,negative,0.8549,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKHP7vDvvS,Ugzrm85LM26eF3Ch4lR4AaABAg,@Elif-823,@Acelya_Göksu,Benim şahsen favori konuklu videom oldu dertleşme kısmı çok güzeldi,22,1 yıl önce,Evet,positive,0.8613,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKOPFomRES,Ugzrm85LM26eF3Ch4lR4AaABAg,@besraaslan3879,@Acelya_Göksu,Ölücem gülmeketen harbiden ölücem evde tekim ve yemek yiyerek izliyorum birazdan boğazımdam kalıcak neden öldü diye sorarlarsa açık mutfak izliyordu dersiniz,14,1 yıl önce,Evet,negative,0.7877,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEK_7zJeLp2,Ugzrm85LM26eF3Ch4lR4AaABAg,@gultenkoc8954,@Acelya_Göksu,Açık mutfak katarsis izledik😂,4,1 yıl önce,Evet,neutral,0.5046,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAELHcrK5H8J,Ugzrm85LM26eF3Ch4lR4AaABAg,@zyk.10,@Acelya_Göksu,Heyecanın çok tatlıydı üzülme 🤍,4,1 yıl önce,Evet,positive,0.7382,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAELxdCTZtnx,Ugzrm85LM26eF3Ch4lR4AaABAg,@paradisegarden1987,@Acelya_Göksu,Tuğbacım gerçekten çok tatlısın kalbının güzelliği yüzüne yansımış en çok güldüğüm video abartmıyorum 😂❤🎉,3,1 yıl önce,Evet,positive,0.9048,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKI7EEJ7fG,Ugzrm85LM26eF3Ch4lR4AaABAg,@1903seviliyon,@Acelya_Göksu,😂😂😂😂,2,1 yıl önce,Evet,neutral,0.574,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKZUI0KxRm,Ugzrm85LM26eF3Ch4lR4AaABAg,@Fatmanur-l1i,@Acelya_Göksu,Aşırı komiksin 😂 Allah affetsin baban senle dalga geçer gibi herşey den  vazgeçirmiş ❤❤😂😂😊,2,1 yıl önce,Evet,positive,0.4924,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEPhysswr-h,Ugzrm85LM26eF3Ch4lR4AaABAg,@baymağaraadamı,@Acelya_Göksu,Abla çok tatlısın çok iyisin seni çok seviyorum,2,1 yıl önce (düzenlendi),Evet,positive,0.916,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEVBOkihO83,Ugzrm85LM26eF3Ch4lR4AaABAg,@sngnesma,@Acelya_Göksu,Tugba sana hayranim bayiliyorum cgh de ekranda beni heyecanlandiran skeci çıkınca merak ettiren tek kadin oyuncusun enerjin dogalligina asigim ama burda gercek hayatta bu kadar utanip cekiniyor olmana sasirdim halbuki tv de döktürüyorsun harikasin ❤,2,1 yıl önce,Evet,positive,0.8905,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEYCKusWS4S,Ugzrm85LM26eF3Ch4lR4AaABAg,@Elifnurr1903,@Acelya_Göksu,Öldüm gülmekten dhsjsjsjdj kumpir olayı bitirdi beni 😂😂,2,1 yıl önce,Evet,positive,0.4814,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAE_M9m4vNpj,Ugzrm85LM26eF3Ch4lR4AaABAg,@Mılehh-1,@Acelya_Göksu,Tugba ❤,2,1 yıl önce,Evet,positive,0.6131,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKIasGJekZ,Ugzrm85LM26eF3Ch4lR4AaABAg,@Nur-kf9pu,@Acelya_Göksu,Memleketlimmm😘,1,1 yıl önce,Evet,positive,0.6914,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKIct6l9fV,Ugzrm85LM26eF3Ch4lR4AaABAg,@derishh46,@Acelya_Göksu,Anlamadım anlatin,1,1 yıl önce,Evet,negative,0.592,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKVDO2mFLT,Ugzrm85LM26eF3Ch4lR4AaABAg,@uwswuwyauso88,@Acelya_Göksu,Yaaaa çok iyi ve güzel din😂 1:13:35,1,1 yıl önce,Evet,positive,0.9176,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKfcW3qA95,Ugzrm85LM26eF3Ch4lR4AaABAg,@Nissyss,@Acelya_Göksu,😊ü,1,1 yıl önce,Evet,positive,0.5298,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEMD8ncMzZU,Ugzrm85LM26eF3Ch4lR4AaABAg,@busrau.5559,@Acelya_Göksu,Gözlerimden yaş geldi dinlerken 😅,1,1 yıl önce,Evet,positive,0.6039,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEOz0XwqtFA,Ugzrm85LM26eF3Ch4lR4AaABAg,@BUGLEMOzdemir-yb3px,@Acelya_Göksu,ABLA BENDE GAZIANTEPLIYIMMMN,1,1 yıl önce,Evet,negative,0.566,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEQFjpNAN2y,Ugzrm85LM26eF3Ch4lR4AaABAg,@darkqueen695,@Acelya_Göksu,Niye bu kadar tatlısınnnn,1,1 yıl önce,Evet,positive,0.8253,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEShuuwpYjw,Ugzrm85LM26eF3Ch4lR4AaABAg,@yarenargun1088,@Acelya_Göksu,abla çok komiksin,1,1 yıl önce,Evet,positive,0.7548,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEUHvtX2NY7,Ugzrm85LM26eF3Ch4lR4AaABAg,@emrecan0636,@Acelya_Göksu,Türkçe gruptan ayrıldı😂,1,1 yıl önce,Evet,neutral,0.5076,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAFfzD02hiJl,Ugzrm85LM26eF3Ch4lR4AaABAg,@cicekgok,@Acelya_Göksu,😂😂😂❤,1,1 yıl önce,Evet,positive,0.5764,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAFtkIg2mpE2,Ugzrm85LM26eF3Ch4lR4AaABAg,@Jisoo_Soyaa_Jicuu,@Acelya_Göksu,Çok tatlısın ablaaaa❤❤❤❤❤❤❤❤❤❤❤❤,1,1 yıl önce,Evet,positive,0.8935,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAFubQrx_v7P,Ugzrm85LM26eF3Ch4lR4AaABAg,@Tecnoxxx21,@Acelya_Göksu,SKSKSKSKSSK ANIRDIM,1,1 yıl önce,Evet,negative,0.688,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAIZGkzQ3kv5,Ugzrm85LM26eF3Ch4lR4AaABAg,@Lucias_Ikoss,@Acelya_Göksu,Tuğba abla bende Gaziantep'liyimm❤❤,1,11 ay önce,Evet,positive,0.7396,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKBVmBsYkZ,Ugzrm85LM26eF3Ch4lR4AaABAg,@bebegimtugcen,@Acelya_Göksu,Yaa yerim❤,18,1 yıl önce,Evet,positive,0.836,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAH_SeJotcvC,Ugzrm85LM26eF3Ch4lR4AaABAg,@Hatceyalcin0930,@Acelya_Göksu,Alt yapidayken yilmaz hocaya muz sesi aciyomus muz yiyorum dedigini hâlâ unutmadim 🙂 🙏🏽,0,1 yıl önce,Evet,positive,0.4963,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAIVqsCAjqSL,Ugzrm85LM26eF3Ch4lR4AaABAg,@kamranhacioglu7092,@Acelya_Göksu,Abla seni çok seviyorum bu arada haklısın,0,11 ay önce,Evet,positive,0.8961,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAKdV7zDuZFq,Ugzrm85LM26eF3Ch4lR4AaABAg,@starriestarzz,@Acelya_Göksu,abla eger sosisler senden iskence goruyoda sonraki videoda arabalarin icindeki sinegin yedigi kisinin en sevdigi renk yani pembe giy 🥺💔,0,9 ay önce,Evet,negative,0.4854,,olumsuz,olumsuz
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BANYPm7MZpdV,Ugzrm85LM26eF3Ch4lR4AaABAg,@Sumeyra-e3j,@Acelya_Göksu,Hırır 🩰💅 abla zaten üzgünüm ya Bali dersine gideceğim bale dersinden edersin en çok korkuyorum bak böyle bana Havlu küçüklüğümden beri sizi izliyorum biliyor musun Ben de diyorum ki Keşke orada olsaydım da oynayabilir miyim keşke,0,7 ay önce,Evet,negative,0.8194,öneri/tavsiye,olumsuz,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAOBISa06eJh,Ugzrm85LM26eF3Ch4lR4AaABAg,@gzd88,@Acelya_Göksu,Tuğba ablaaaaa merhabaaa fanınımmm tanışalım mı kalp at nolurrrrrr❤❤❤❤❤😊😊😊😊❤❤❤❤🎉🎉🎉,0,6 ay önce,Evet,positive,0.753,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAUSbGLu410r,Ugzrm85LM26eF3Ch4lR4AaABAg,@nedegilefendim,@Acelya_Göksu,Tuğba şans eseri yaşıyor gibi :D çok tatlı ya,0,1 ay önce,Evet,positive,0.9096,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUAzy5c7lWS,Ugzrm85LM26eF3Ch4lR4AaABAg,@isikhizli6264,@Acelya_Göksu,Bende 😂😂😂 tuğba kadar doğal komik en son kemal sunalı görmüştüm,22,1 ay önce,Evet,positive,0.6338,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUIADQLvlIf,Ugzrm85LM26eF3Ch4lR4AaABAg,@aliceaydin6081,@Acelya_Göksu,"Ben deeee. Bu kız bir şey sunmalı, stand up fln bir şey yapmalı. Çok geç fark etmişiz yaa. Doğalının daha komik olması efsane",4,1 ay önce,Evet,positive,0.4892,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUSmZaXAC-e,Ugzrm85LM26eF3Ch4lR4AaABAg,@pnarkilicc,@Acelya_Göksu,Ben deeeee keşke Emre’yle Tuğba beraber bir şeyler çekseler enerjileri çok iyi,2,1 ay önce,Evet,positive,0.6505,öneri/tavsiye,olumlu,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUec_EhZDR-,Ugzrm85LM26eF3Ch4lR4AaABAg,@superkamil5272,@Acelya_Göksu,Tuğbayla Melisten öğrenen de ne bilimmm😂😂,2,1 ay önce,Evet,neutral,0.4945,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUFYKQjAFOS,Ugzrm85LM26eF3Ch4lR4AaABAg,@BerjinEngin,@Acelya_Göksu,ayy bendeeee,1,1 ay önce,Evet,positive,0.5307,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUKtLbl3niY,Ugzrm85LM26eF3Ch4lR4AaABAg,@fbetülyılmazz,@Acelya_Göksu,Ben deee,1,1 ay önce,Evet,neutral,0.393,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUr24RFSXux,Ugzrm85LM26eF3Ch4lR4AaABAg,@Halamm01,@Acelya_Göksu,Ben deeee ☺️,0,1 ay önce,Evet,positive,0.8248,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAV5zQouSa42,Ugzrm85LM26eF3Ch4lR4AaABAg,@denizh2794,@Acelya_Göksu,Bendeeeee,0,1 ay önce,Evet,positive,0.3643,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAUDyYGezCt5,Ugzrm85LM26eF3Ch4lR4AaABAg,@EnesErkal-s2k,@Acelya_Göksu,BENDEEEE,1,1 ay önce,Evet,positive,0.4729,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAVOOsfm2X3d,Ugzrm85LM26eF3Ch4lR4AaABAg,@yldzbelgin4376,@Acelya_Göksu,❤❤❤❤❤,0,3 hafta önce,Evet,positive,0.7308,,olumlu,olumlu
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAVOQFeX5k3_,Ugzrm85LM26eF3Ch4lR4AaABAg,@yldzbelgin4376,@Acelya_Göksu,😂😂😂😂😂,0,3 hafta önce,Evet,neutral,0.5866,,nötr,nötr
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAVOT9dvW8G3,Ugzrm85LM26eF3Ch4lR4AaABAg,@yldzbelgin4376,@Acelya_Göksu,Bu kadar tatli olunurmu tugbaaa❤❤❤,0,3 hafta önce,Evet,positive,0.8637,,olumlu,olumlu
