Video Başlığı,Yorum ID,Yorum Metni,Nihai_Etiket,etiket_id,Beğeni Sayısı,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxUM2pRDCjqdm5-PHJ4AaABAg,Açık mutfağa çok seviyorum,olumlu,0,0,Hayır,positive,0.8277,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugy-3dnB0om7IQPoZq14AaABAg,2 Sezonda Tunca abiyi görmek isteriz ya,olumlu,0,0,Hayır,positive,0.5216,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugy_iu7SD8iKVNT6n014AaABAg,hiç tur deneyiminiz olduğunu düşünmüyorum çünkü o turlarda insanlarla götle don gibi olursunuz numaralaşırsınız ve bir daha asla birbirinizi aramazsınız😂😂 video çok iyi bu arada uzun zamandır YouTube’da eğlenerek izlediğim nadir videolardan,olumlu,0,0,Hayır,positive,0.7457,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzXI3uo5kBySMPc7y14AaABAg,Abi lütfen god of War ragnarok vallaha oyna,nötr,2,0,Hayır,neutral,0.3955,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw5EGAmMWJRxGRPvsp4AaABAg,Çiğ köfte yapin LUTFEN😢😢❤,öneri/tavsiye,3,0,Hayır,negative,0.351,öneri/tavsiye
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxnxVGNrI0oQba10V94AaABAg,Devamı BEKLIYORUZZ,nötr,2,0,Hayır,neutral,0.5888,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxdNVmNVE8bAmhJOi14AaABAg,Enis şımarmış ozguvenden değil dd,olumsuz,1,1,Hayır,negative,0.565,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgwUGXl94Q1ESuGlYix4AaABAg,En güzel bölüm falan olabilir feci eğlendim İzlerken babam odama geldi kilitlendi ekrana izledik sırıta sırıta ❤,olumlu,0,2,Hayır,positive,0.9169,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzOtsO8Zd-o1ywbRsR4AaABAg,ABLA BENDE GAZIANTEPLIYIM,olumlu,0,0,Hayır,positive,0.5712,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwXLtR_-xajzb42WSl4AaABAg,2 ci sezon 100 gelmeli ama aynı ekiple hiç değiştirmeden,nötr,2,2,Hayır,neutral,0.5711,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxJ_7ZbQULSA1x4abt4AaABAg,SADECE ARİFİN OLDUĞU Bİ BÖLÜM İSTİYOUZZ,olumsuz,1,0,Hayır,negative,0.4977,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugzs2JnQMN21JhK3C9J4AaABAg.AUcBdWPCuuEAUm-4I08dsB,DIMII YAA keşke rr daha çok videolara çağırsa,öneri/tavsiye,3,1,Evet,positive,0.3939,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw1ksVeHTpLbH9op2Z4AaABAg.APviuEN0CakAQ-Nf2Q0lpz,Komşusu aile dostu gibi olmuşlar yani kardeşi artık,olumsuz,1,2,Evet,negative,0.6603,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugy2m7XNMUKp-QY_0UV4AaABAg,bir sezon daha çekilirse başka kişilerle yapılmalı,nötr,2,2,Hayır,neutral,0.5957,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgziQBK8WZqwOeNEaEh4AaABAg,arcenemle GELSINN ABII😻😻🫶🏻🫶🏻🎉🎉❤❤,olumlu,0,2,Hayır,positive,0.786,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgyRJYPhFgrloBPk13x4AaABAg,Acaba ezgi mola ile neden küstüler,olumsuz,1,0,Hayır,negative,0.8148,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugx1Qb4hjnn3XSROJzd4AaABAg,Cem Yılmaz ın taktiklerinden biri esprisine en önce kendi gülüyor Adamın birini gördüm yürüyordu Ahhahahahttarraakhaha! diyor millet de peşinden Elbette tek olayı budur demiyorum Senelerini bu işe vermiş ki bunu sanırım bir oturumda 700 defa falan söyler ortalama bir işinin erbabı şahsiyete tek kulp takarak itibarsızlaştırmak gibi bir amacımız yok Sanat eseri üreten senaryo yazan film çeken tiyatro yapan çizen yazan bir kişi Varsın o kadar gösteriş ve buldumcuk havası da atıversin,olumsuz,1,0,Hayır,negative,0.4559,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugyp3FcksNA5FWG7IBF4AaABAg,Çok iyi bölümdü… bayıldım Enis STAR 🧿,olumlu,0,0,Hayır,positive,0.9397,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgyAAiRze0ywIzWJqBp4AaABAg,Aşırı iyi içerik ya 😁 devamını bekliyoruz,olumlu,0,0,Hayır,positive,0.9327,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgzHSIWUujWehUNsHUd4AaABAg,Enis Abiyi seviyorum da neden sürekli Melis Ablayı hep ters anladı Kadın seni övüyor ediyor sen onu terslemeye çalışıyorsun abi ya 😊 Neyse ama güzel bir bölümdü çok güldüm o ayrı 😂😂,olumlu,0,0,Hayır,positive,0.8486,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugxm-ThGkMwobCZB0Yl4AaABAg,ata topraklarina gitmisler,olumsuz,1,0,Hayır,negative,0.8671,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugy0hWIkb9wjpqdREN54AaABAg,Adamda iyi atıyor ha,olumlu,0,0,Hayır,positive,0.6561,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugw1Ib1Bpe2JO9teKHl4AaABAg,yine sardı gitmiş gibi oldumm,olumsuz,1,0,Hayır,negative,0.9151,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw1rL5cvLSV6Gwwc0F4AaABAg,Çok iyi yaa😂😂,olumlu,0,0,Hayır,positive,0.8908,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgzGgMUwk34_DtIdndx4AaABAg,Melisa Hanımın sohbet tarzı bana göre abartılı ve gürültülü ancak çalıştığı ekip ve konuklarla birlikte kaliteli içerikler üretiyor Enis Bey zaten tek başına doğaçlama yapsa bile yeter,olumlu,0,0,Hayır,positive,0.706,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwyDPNHZ-NHQlh1dE94AaABAg,Hanımefendi her cümleye de gülemezsiniz 🙄,olumsuz,1,0,Hayır,negative,0.6733,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcTEPYsQ1A,Emeğinize sağlık kesinlikle 2 sezon gelmeli soluksuz izletti bölümler kendisini ayrıca oyuna da tekrardan başlamış olduk D,olumlu,0,0,Evet,positive,0.8961,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcGtoTHXNY,Sezon 2 acil,nötr,2,0,Evet,neutral,0.5895,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzzWbCMKSXktwKuVRN4AaABAg,Yemin ediyorum her bölümü keşke o ortamda olsam diye hayal ederek izledim,öneri/tavsiye,3,2,Hayır,positive,0.4214,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugx-apyHCAjYBAPlza54AaABAg,acik mutfak izlemek sinifsaldir mesela,nötr,2,5,Hayır,neutral,0.5585,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxiSOfK2z0ZFmYOo514AaABAg,Cem yılmaz ayrı da bu kızcağızın kahkahanın sahteliği hakkında bi kendini gözden geçirmesi şart,olumsuz,1,0,Hayır,negative,0.819,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcGr4VSD5U,Bu kadar keyif aldıysanız haftaya 2 Sezon yaparsınız,olumlu,0,0,Evet,positive,0.7479,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugxgo7yMfIohb5h4Rb94AaABAg,çok melis e yüklenmiş programı kötülemiş şaka yollu kaç kez ibrahim selim e çıktı orada çok kibardı çok kabaydı melis e karşı,olumsuz,1,0,Hayır,negative,0.8965,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugx4puIS3MA2-9AajYx4AaABAg,14 cm cidi bi sayi bu arada jrjdjdjdj ortalamanin üstü hdjdjdjf,nötr,2,6,Hayır,neutral,0.5457,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgzSW9IZGLjPiBGCszh4AaABAg,Herkes o bölümden geldi ve o sahneleri arıyo,nötr,2,33,Hayır,neutral,0.61,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugxt_MEiTU9wV5OZUyh4AaABAg,Cem Yılmazdan daha çok güldüm süper şov🎉😂❤❤,olumlu,0,0,Hayır,positive,0.9328,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugxi2lxBR_vuT2n8jrp4AaABAg,Abi 129 nolu apartmana gidin,olumsuz,1,0,Hayır,negative,0.66,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxjKvop_xS0HRZUIi54AaABAg.ARrHdhn305lARu3Hj93s5J,Arda Güler çok iyi topçu,olumlu,0,1,Evet,positive,0.8946,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxWmOIch6LbPwaHvKV4AaABAg,Otobüste izledim ve kendimi o kadar sıkıyordum ki insan içinde gülmemek için🤣 kendimi tutmasaydım kahkahalarla gülerdim😅 arada 10 dakika ara vererek izledim Yetmedi iyice gülemedim diye eve gelip bir daha izledim😂 tabii ki de bol kahkahalarlaa🤭 Sizi çok seviyorum❤,olumlu,0,1,Hayır,positive,0.7891,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgylwB7vo7dpzBR3HjZ4AaABAg,Ben yılmaz bir Cem im tıklama görünce basit Melislerim,nötr,2,10,Hayır,neutral,0.4723,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzGv9jRn4YTP1C7Ird4AaABAg,emre abi bugün 14 şubat hem sevgililer günü hem de annenin doğum günü ESRA ABLA DOĞUM GÜNÜN KUTLU OLSUN SENİ ÇOK SEVİYORUZ bütün kanal olarak doğum gününü kutluyoruz yt yt yt 77 dileklerin kabul olur inşallah,olumlu,0,0,Hayır,positive,0.8567,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUchFTJtEHI,2 SEZOONN,olumlu,0,0,Evet,positive,0.3816,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugyu7d1VcX_MvdWo1E14AaABAg.ARlg1pKJP1hARmObABarQU,<kullaniciadi> l sönük olduğu için mi eleştirmişim isterseniz bir daha okuyun yorumumu! Ayrıca sizin bana yorum yapma hakkınız nasıl varsa benim de izlediğim programa yorum yapma hakkım o kadar var!,olumsuz,1,1,Evet,negative,0.6588,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugxcwls5NSWd_ZIppZV4AaABAg,like ı sensin malakaya verdil,nötr,2,0,Hayır,neutral,0.4767,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcP4FEenIZ,2 sezonn,nötr,2,0,Evet,neutral,0.506,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyCm7K-I4vTI-hl-OF4AaABAg,Taner abi ??,nötr,2,1,Hayır,neutral,0.7506,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwJojPwQJEdWslaZHV4AaABAg,karın çok gülüyor ya 😓,olumlu,0,0,Hayır,positive,0.638,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwqGT6Hu4J5SZagic54AaABAg,Bana tamam hissettiren sey pijamalarimi giymek🙋🏻‍♀️,olumlu,0,8,Hayır,positive,0.7303,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgzhebXCqrq23JwtJZN4AaABAg,EN SEVDİĞİM YEMEKTİR ARABASI CORBBASI,olumlu,0,1,Hayır,positive,0.7342,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugy67HnlTCeOd4zwp9h4AaABAg,Melis işiten e rağmen izliyorum,nötr,2,1,Hayır,neutral,0.3751,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxJaSWvRS5pIoMgOVN4AaABAg,abi gorayı tekrar çeksen bile sıkılmayız öyle söyliyim,olumsuz,1,0,Hayır,negative,0.4069,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyX_QWUacpsVSSNq_54AaABAg,Cem abi çok seviyoruz seni ya♥️,olumlu,0,0,Hayır,positive,0.9037,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyM8ngvxJ3AdTVP7G14AaABAg,Harika konuklar çok eğlendim ama lütfen Ömer de gelsin artık 😢,öneri/tavsiye,3,0,Hayır,positive,0.6379,öneri/tavsiye
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxaMHeLpTELOisESYR4AaABAg,Abi sırada ebru abla gelsin,öneri/tavsiye,3,3,Hayır,neutral,0.512,öneri/tavsiye
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxV9YqpmoG1DPLFqPR4AaABAg.AUepjvxso1CAUf6Pu1l65_,Yıtırıpta ciksekmi,nötr,2,8,Evet,neutral,0.425,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwgZ2Cdb1E098aTtGN4AaABAg,Abi seri aynı kişilerle devam etsin gerekirse konu değiisin AYRILMAYIN normalde yt girip izlediğim bi yer değil ama ben bu projeyi çok zevkli buldum devam etsin ❤,olumlu,0,8,Hayır,positive,0.7821,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxpEucjA14eDitrmkd4AaABAg,Atakan tencere çiziliyor deyince Tarığın çıkması çok KOMIK😂😂 😂,olumlu,0,12,Hayır,positive,0.5302,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugz2mIzWS22gcmZBeoV4AaABAg,Ulan milli piyango onaylı dediğiniz çekiliş bu muydu hayatımda gördüğüm en yalan çekilişti bu saygım kalmadı size,olumsuz,1,1,Hayır,negative,0.8827,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugy3hc6Gx2c8QuRW6tJ4AaABAg,Tuğba nın enerjisi ÇOKK iyi çok iyi uyum sağladı bu ekip MÜKK🤍,olumlu,0,9,Hayır,positive,0.9135,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxkNwlib6yb1HU_56N4AaABAg,şu mektup okuma işi ne kadar saçma ya,olumsuz,1,0,Hayır,negative,0.9384,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugw_nOPwa1mzS-0j0tJ4AaABAg,Bütün bölümlerde Enis Arıkan mı olsa ARTIKK 🩷,olumsuz,1,0,Hayır,negative,0.3856,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugzv4dxkqVQ2Yfgzrx14AaABAg,Karnıma ağrılar girdi gülmekten çok iyi yaa,olumlu,0,1,Hayır,positive,0.8256,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyL35AgDwNQPb88wMZ4AaABAg,Tuğba abla YA😂😂,nötr,2,0,Hayır,neutral,0.3921,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxPY3Z9RlaZwTG5SsR4AaABAg,Bi dahaki bölüme cemilenin annesi gelsin lütfen hem daha az yorulmuş olur kadın,öneri/tavsiye,3,1,Hayır,negative,0.4429,öneri/tavsiye
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwUiZqIWAVWNfXsz9x4AaABAg,Ya bitti bu valla boşluğa düştüm BUNUN DEVAMINI ACİL ÇEKİN BU BİR TEHDİTTİR,olumsuz,1,2,Hayır,negative,0.9493,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgzXLK1n7FP67_6zTWF4AaABAg,SELENA Selin Atakan Emre Leyla Cemile Nazlı,nötr,2,1,Hayır,neutral,0.7536,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxrGlgE5aziQJUSex14AaABAg,bildircın güzel abi ya yumurtasida etide,olumlu,0,0,Hayır,positive,0.7303,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxW_Z0xQFheIgqIjWx4AaABAg,arcenem uclusuyle acik mutfak ne zaman geliyo,nötr,2,1,Hayır,neutral,0.6129,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzITzXBlAssbS-DFRR4AaABAg,😊 abla benim babam turuncu seviyorum bütün erkekler siyah sevmez ki,olumlu,0,1,Hayır,positive,0.4509,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugw53sSMHEjKUGlXATV4AaABAg,2 SEZOONNB,olumsuz,1,0,Hayır,negative,0.3738,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcGtvpTplx,​ <kullaniciadi> jw6nw ayıp oldu adama yaw,olumsuz,1,0,Evet,negative,0.9188,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyLtJ28gXDR1if5PGx4AaABAg,ortam şl gibi haset etmemek elde değil,olumsuz,1,0,Hayır,negative,0.5116,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyzsE9LZvwLzJr7B_N4AaABAg,Konsol oyun hariç 3 yarışmacı kalsın o kadar pis şeyler yapıyor izleyen insanında midesini bulandırıyor,olumsuz,1,0,Hayır,negative,0.9443,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgzR59aLV7Pc4D9tn7V4AaABAg,çok ii,olumlu,0,0,Hayır,positive,0.584,
